ID,Name,Race,MaxHitPoints,MaxShields,MaxEnergy,RegeneratesHp,AirWeaponName,GroundWeaponName,Armor,ArmorUpgrade,UnitSize,RequiredTech,RequiresCreep,RequiresPsi,CloakingTech,HasPermanentCloak,BuildScore,BuildTime,DestroyScore,Acceleration,HaltDistance,TopSpeed,TurnRadius,CanAttack,CanBuildAddon,CanMove,CanProduce,Width,Height,DimensionDown,DimensionLeft,DimensionRight,DimensionUp,TileWidth,TileHeight,MineralPrice,GasPrice,SpaceProvided,SpaceRequired,SupplyProvided,SupplyRequired,IsAddon,IsBeacon,IsBuilding,IsBurrowable,IsCloakable,IsCritter,IsDetector,IsFlagBeacon,IsFlyer,IsFlyingBuilding,IsHero,IsInvincible,IsMechanical,IsMineralField,IsNeutral,IsOrganic,IsPowerup,IsRefinery,IsResourceContainer,IsResourceDepot,IsRobotic,IsSpecialBuilding,IsSpell,IsSpellcaster,IsTwoUnitsInOneEgg,IsWorker,ProducesCreep,ProducesLarva,SeekRange,SightRange,MaxGroundHits,MaxAirHits,Abilities,Upgrades,BuildsWhat,ReseachesWhat,UpgradesWhat,RequiredUnits
9,Terran_Science_Vessel,Terran,200,0,200,FALSE,None,None,1,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,625,1200,1250,50,5120,5,40,FALSE,FALSE,TRUE,FALSE,65,50,16,32,32,33,2,2,100,225,0,255,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,320,0,0,EMP_Shockwave/Defensive_Matrix/Irradiate,Terran_Ship_Plating/Titan_Reactor,None,None,None,Terran_Starport|1/Terran_Control_Tower|1/Terran_Science_Facility|1
10,Hero_Gui_Montag,Terran,160,0,0,FALSE,None,Flame_Thrower_Gui_Montag,3,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,0,720,400,1,1,4,40,TRUE,FALSE,TRUE,FALSE,23,22,14,11,11,7,1,1,100,50,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96,224,3,0,Stim_Packs,Terran_Infantry_Armor/Terran_Infantry_Weapons,None,None,None,None
11,Terran_Dropship,Terran,150,0,0,FALSE,None,None,1,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,300,750,600,17,37756,5.47,20,FALSE,FALSE,TRUE,FALSE,49,37,20,24,24,16,2,2,100,100,8,255,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,256,0,0,None,Terran_Ship_Plating,None,None,None,Terran_Starport|1/Terran_Control_Tower|1
12,Terran_Battlecruiser,Terran,500,0,200,FALSE,ATA_Laser_Battery,ATS_Laser_Battery,3,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,1200,2000,2400,27,7585,2.5,20,TRUE,FALSE,TRUE,FALSE,75,59,29,37,37,29,2,2,400,300,0,255,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,352,1,1,Yamato_Gun,Terran_Ship_Plating/Terran_Ship_Weapons/Colossus_Reactor,None,None,None,Terran_Starport|1/Terran_Control_Tower|1/Terran_Physics_Lab|1
13,Terran_Vulture_Spider_Mine,Terran,20,0,0,FALSE,None,Spider_Mines,0,Upgrade_60,Small,None,FALSE,FALSE,None,FALSE,0,1,25,1,1,16,127,TRUE,FALSE,TRUE,FALSE,15,15,7,7,7,7,1,1,1,0,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96,96,1,0,None,None,None,None,None,None
14,Terran_Nuclear_Missile,Terran,100,0,0,FALSE,None,None,0,Upgrade_60,Independent,None,FALSE,FALSE,None,FALSE,800,1500,0,33,1103213,33.33,127,TRUE,FALSE,TRUE,FALSE,15,29,14,7,7,14,1,1,200,200,0,255,0,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,96,0,0,None,None,None,None,None,Terran_Nuclear_Silo|1
15,Terran_Civilian,Terran,40,0,0,FALSE,None,None,0,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,0,1,10,1,1,4,40,FALSE,FALSE,TRUE,FALSE,17,20,10,8,8,9,1,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,224,0,0,None,Terran_Infantry_Armor,None,None,None,None
16,Hero_Sarah_Kerrigan,Terran,250,0,250,FALSE,C_10_Canister_Rifle_Sarah_Kerrigan,C_10_Canister_Rifle_Sarah_Kerrigan,3,Terran_Infantry_Armor,Small,None,FALSE,FALSE,Personnel_Cloaking,FALSE,0,1500,700,1,1,4,40,TRUE,FALSE,TRUE,FALSE,15,22,11,7,7,10,1,1,50,150,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,352,1,1,Lockdown/Personnel_Cloaking,Terran_Infantry_Armor/Terran_Infantry_Weapons,None,None,None,None
17,Hero_Alan_Schezar,Terran,300,0,0,FALSE,Hellfire_Missile_Pack_Alan_Schezar,Twin_Autocannons_Alan_Schezar,3,Terran_Vehicle_Plating,Large,None,FALSE,FALSE,None,FALSE,0,1200,800,1,1,4.57,17,TRUE,FALSE,TRUE,FALSE,32,32,15,16,15,16,1,1,200,100,0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,160,256,1,1,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
18,Hero_Alan_Schezar_Turret,Terran,0,0,0,FALSE,Hellfire_Missile_Pack_Alan_Schezar,Twin_Autocannons_Alan_Schezar,0,Terran_Vehicle_Plating,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,3,3,1,1,1,1,1,1,1,1,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,256,1,1,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
19,Hero_Jim_Raynor_Vulture,Terran,300,0,0,FALSE,None,Fragmentation_Grenade_Jim_Raynor,3,Terran_Vehicle_Plating,Medium,None,FALSE,FALSE,None,FALSE,0,900,300,100,14569,6.4,40,TRUE,FALSE,TRUE,FALSE,32,32,15,16,15,16,1,1,150,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,256,1,0,Spider_Mines,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
20,Hero_Jim_Raynor_Marine,Terran,200,0,0,FALSE,Gauss_Rifle_Jim_Raynor,Gauss_Rifle_Jim_Raynor,3,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,0,1,200,1,1,4,40,TRUE,FALSE,TRUE,FALSE,17,20,10,8,8,9,1,1,50,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,224,1,1,Stim_Packs,Terran_Infantry_Armor/Terran_Infantry_Weapons,None,None,None,None
21,Hero_Tom_Kazansky,Terran,500,0,250,FALSE,Gemini_Missiles_Tom_Kazansky,Burst_Lasers_Tom_Kazansky,4,Terran_Ship_Plating,Large,None,FALSE,FALSE,Cloaking_Field,FALSE,0,1800,1600,67,21745,6.67,40,TRUE,FALSE,TRUE,FALSE,38,30,14,19,18,15,1,1,400,200,0,255,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,224,1,1,Cloaking_Field,Terran_Ship_Plating/Terran_Ship_Weapons,None,None,None,None
22,Hero_Magellan,Terran,800,0,250,FALSE,None,None,4,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,0,2400,2500,50,5120,5,40,FALSE,FALSE,TRUE,FALSE,65,50,16,32,32,33,2,2,50,600,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,320,0,0,EMP_Shockwave/Defensive_Matrix/Irradiate,Terran_Ship_Plating,None,None,None,None
23,Hero_Edmund_Duke_Tank_Mode,Terran,400,0,0,FALSE,None,Arclite_Cannon_Edmund_Duke,3,Terran_Vehicle_Plating,Large,None,FALSE,FALSE,None,FALSE,0,1500,1400,1,1,4,13,TRUE,FALSE,TRUE,FALSE,32,32,15,16,15,16,1,1,300,200,0,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,256,320,1,0,Tank_Siege_Mode,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
24,Hero_Edmund_Duke_Tank_Mode_Turret,Terran,0,0,0,FALSE,None,Arclite_Cannon_Edmund_Duke,0,Terran_Vehicle_Plating,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,3,3,1,1,1,1,1,1,1,1,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,320,1,0,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
25,Hero_Edmund_Duke_Siege_Mode,Terran,400,0,0,FALSE,None,Arclite_Shock_Cannon_Edmund_Duke,3,Terran_Vehicle_Plating,Large,None,FALSE,FALSE,None,FALSE,0,1500,1400,1,1,0,40,TRUE,FALSE,FALSE,FALSE,32,32,15,16,15,16,1,1,300,200,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,320,1,0,Tank_Siege_Mode,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
26,Hero_Edmund_Duke_Siege_Mode_Turret,Terran,0,0,0,FALSE,None,Arclite_Shock_Cannon_Edmund_Duke,0,Terran_Vehicle_Plating,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,3,3,1,1,1,1,1,1,1,1,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,384,320,1,0,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
27,Hero_Arcturus_Mengsk,Terran,1000,0,250,FALSE,ATA_Laser_Battery_Hero,ATS_Laser_Battery_Hero,4,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,0,4800,4800,27,7585,2.5,20,TRUE,FALSE,TRUE,FALSE,75,59,29,37,37,29,2,2,800,600,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,256,1,1,None,Terran_Ship_Plating/Terran_Ship_Weapons,None,None,None,None
28,Hero_Hyperion,Terran,850,0,250,FALSE,ATA_Laser_Battery_Hyperion,ATS_Laser_Battery_Hyperion,4,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,0,2400,4800,27,7585,2.5,20,TRUE,FALSE,TRUE,FALSE,75,59,29,37,37,29,2,2,800,600,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,352,1,1,Yamato_Gun,Terran_Ship_Plating/Terran_Ship_Weapons,None,None,None,None
29,Hero_Norad_II,Terran,700,0,250,FALSE,ATA_Laser_Battery_Hero,ATS_Laser_Battery_Hero,4,Terran_Ship_Plating,Large,None,FALSE,FALSE,None,FALSE,0,4800,4800,27,7585,2.5,20,TRUE,FALSE,TRUE,FALSE,75,59,29,37,37,29,2,2,800,600,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,352,1,1,Yamato_Gun,Terran_Ship_Plating/Terran_Ship_Weapons,None,None,None,None
30,Terran_Siege_Tank_Siege_Mode,Terran,150,0,0,FALSE,None,Arclite_Shock_Cannon,1,Terran_Vehicle_Plating,Large,None,FALSE,FALSE,None,FALSE,0,750,700,1,1,0,40,TRUE,FALSE,FALSE,FALSE,32,32,15,16,15,16,1,1,150,100,0,255,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,320,1,0,Tank_Siege_Mode,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,Terran_Factory|1/Terran_Machine_Shop|1
31,Terran_Siege_Tank_Siege_Mode_Turret,Terran,0,0,0,FALSE,None,Arclite_Shock_Cannon,0,Terran_Vehicle_Plating,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,3,3,1,1,1,1,1,1,1,1,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,384,320,1,0,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
32,Terran_Firebat,Terran,50,0,0,FALSE,None,Flame_Thrower,1,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,100,360,200,1,1,4,40,TRUE,FALSE,TRUE,FALSE,23,22,14,11,11,7,1,1,50,25,0,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96,224,3,0,Stim_Packs,Terran_Infantry_Armor/Terran_Infantry_Weapons,None,None,None,Terran_Barracks|1/Terran_Academy|1
33,Spell_Scanner_Sweep,Terran,0,0,0,FALSE,None,None,0,Upgrade_60,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,27,31,17,13,13,13,1,1,0,0,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,320,0,0,None,None,None,None,None,None
34,Terran_Medic,Terran,60,0,200,FALSE,None,None,1,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,125,450,250,1,1,4,40,FALSE,FALSE,TRUE,FALSE,17,20,10,8,8,9,1,1,50,25,0,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,288,288,0,0,Restoration/Optical_Flare/Healing,Terran_Infantry_Armor/Caduceus_Reactor,None,None,None,Terran_Barracks|1/Terran_Academy|1
